age,annual_income,loan_amount,credit_score,employment_years,existing_loans,dependents,missed_payments,debt_to_income_ratio,education,employment_type,residence_type,marital_status,loan_purpose,default
24,628841,312975,693,7,3,3,6,49.77,Postgraduate,Self-Employed,Rented,Married,Vehicle,1
51,898164,192430,739,1,1,0,6,21.42,High School,Business,Rented,Married,Home,1
46,180000,312039,755,13,2,3,4,95.0,Graduate,Salaried,Owned,Married,Personal,1
38,320739,188834,754,14,0,1,2,58.87,Graduate,Salaried,Rented,Single,Personal,1
37,446965,146048,683,15,0,0,3,32.68,Graduate,Salaried,Mortgaged,Married,Personal,0
54,971459,332802,787,14,2,2,4,34.26,Diploma,Salaried,Owned,Married,Home,0
24,712169,321129,706,2,0,2,3,45.09,Diploma,Self-Employed,Owned,Divorced,Personal,1
48,818810,381099,734,13,3,1,2,46.54,Diploma,Salaried,Owned,Single,Business,1
28,399165,606021,710,15,1,1,2,95.0,Graduate,Salaried,Owned,Single,Home,1
24,403702,338821,707,4,0,4,4,83.93,High School,Salaried,Rented,Divorced,Personal,0
41,748519,367911,638,9,2,1,0,49.15,High School,Salaried,Owned,Married,Personal,0
59,662820,149141,739,18,2,4,6,22.5,High School,Self-Employed,Rented,Single,Home,0
49,770723,119833,850,8,3,4,0,15.55,Graduate,Self-Employed,Mortgaged,Single,Personal,0
50,608712,521596,664,15,0,1,6,85.69,Diploma,Self-Employed,Owned,Married,Home,1
48,711192,170713,695,10,2,2,0,24.0,Graduate,Self-Employed,Owned,Married,Education,1
51,684786,153848,659,13,4,3,3,22.47,Graduate,Salaried,Mortgaged,Married,Home,1
41,821109,294526,656,12,1,2,2,35.87,Diploma,Self-Employed,Rented,Married,Home,0
25,827542,287373,798,13,4,2,4,34.73,Postgraduate,Salaried,Mortgaged,Single,Personal,0
53,293628,173649,643,15,3,1,3,59.14,Postgraduate,Unemployed,Owned,Single,Business,1
38,180000,257304,657,18,2,0,6,95.0,High School,Salaried,Rented,Married,Vehicle,1
40,870384,472113,579,5,4,0,0,54.24,Diploma,Salaried,Mortgaged,Divorced,Personal,1
35,911300,187161,637,18,4,1,6,20.54,Graduate,Salaried,Owned,Single,Personal,1
28,425463,104886,570,12,1,3,4,24.65,High School,Business,Rented,Married,Personal,1
57,240836,431963,734,11,4,1,5,95.0,Graduate,Salaried,Rented,Single,Personal,1
51,671788,368922,850,6,0,0,0,54.92,Graduate,Unemployed,Rented,Single,Personal,0
46,854784,213127,664,8,0,1,0,24.93,Postgraduate,Salaried,Owned,Divorced,Business,0
